  itmf,  dt,  <f_i>,  <CW sin theta>,  <Current>,  <Lorenz force>
 55980, 4.140476E-06, 4.377765E-04, 2.768858E-01, 1.192246E+01, 4.122398E+02
 55990, 4.158355E-06, 4.360096E-04, 2.772675E-01, 1.192909E+01, 4.140899E+02
 56000, 5.465146E-06, 4.329723E-04, 2.766767E-01, 1.191817E+01, 4.136308E+02
 56010, 7.972865E-06, 4.329707E-04, 2.760288E-01, 1.190671E+01, 4.125508E+02
 56020, 7.444896E-06, 4.325577E-04, 2.755222E-01, 1.189891E+01, 4.114770E+02
 56030, 7.667093E-06, 4.306317E-04, 2.749279E-01, 1.189043E+01, 4.098385E+02
 56040, 9.290297E-06, 4.271003E-04, 2.742415E-01, 1.187944E+01, 4.083683E+02
 56050, 1.194270E-05, 4.272890E-04, 2.736505E-01, 1.187042E+01, 4.069289E+02
 56060, 1.238741E-05, 4.281880E-04, 2.732477E-01, 1.186861E+01, 4.058304E+02
 56070, 7.781620E-06, 4.302664E-04, 2.729515E-01, 1.187655E+01, 4.054893E+02
 56080, 7.775011E-06, 4.284898E-04, 2.723961E-01, 1.186212E+01, 4.036116E+02
 56090, 8.081050E-06, 4.275001E-04, 2.719444E-01, 1.185024E+01, 4.020694E+02
 56100, 8.642050E-06, 4.272228E-04, 2.715586E-01, 1.184390E+01, 4.009076E+02
 56110, 9.250858E-06, 4.285391E-04, 2.712181E-01, 1.184166E+01, 3.999274E+02
 56120, 2.434100E-05, 4.314416E-04, 2.712998E-01, 1.184817E+01, 3.994150E+02
 56130, 2.193510E-05, 4.299721E-04, 2.714762E-01, 1.185615E+01, 3.998044E+02
 56140, 1.940452E-05, 4.292947E-04, 2.716965E-01, 1.186053E+01, 3.999211E+02
 56150, 2.418048E-05, 4.274910E-04, 2.716298E-01, 1.185637E+01, 3.995801E+02
 56160, 2.411128E-05, 4.260311E-04, 2.715290E-01, 1.185470E+01, 3.994065E+02
 56170, 2.312392E-05, 4.251848E-04, 2.714980E-01, 1.185495E+01, 3.993839E+02
 56180, 2.166795E-05, 4.249048E-04, 2.715915E-01, 1.185692E+01, 3.995627E+02
 56190, 1.970078E-05, 4.252415E-04, 2.717328E-01, 1.186054E+01, 3.997924E+02
 56200, 1.708082E-05, 4.269096E-04, 2.719526E-01, 1.186665E+01, 4.001049E+02
 56210, 1.353054E-05, 4.311172E-04, 2.723806E-01, 1.187827E+01, 4.007341E+02
 56220, 9.464993E-06, 4.396468E-04, 2.732395E-01, 1.189972E+01, 4.021488E+02
 56230, 6.446102E-06, 4.482002E-04, 2.744954E-01, 1.192844E+01, 4.043830E+02
 56240, 4.554787E-06, 4.531617E-04, 2.758261E-01, 1.195971E+01, 4.076108E+02
 56250, 3.773040E-06, 4.524516E-04, 2.767695E-01, 1.198172E+01, 4.104039E+02
 56260, 4.400957E-06, 4.480846E-04, 2.767176E-01, 1.197727E+01, 4.104723E+02
 56270, 6.427995E-06, 4.428218E-04, 2.761394E-01, 1.196182E+01, 4.089743E+02
 56280, 9.641937E-06, 4.400706E-04, 2.754586E-01, 1.194927E+01, 4.072542E+02
 56290, 1.083794E-05, 4.352792E-04, 2.749291E-01, 1.194086E+01, 4.062504E+02
 56300, 1.238844E-05, 4.355023E-04, 2.747693E-01, 1.193671E+01, 4.054015E+02
 56310, 1.450298E-05, 4.391638E-04, 2.747712E-01, 1.193779E+01, 4.051278E+02
 56320, 1.425149E-05, 4.405339E-04, 2.751913E-01, 1.194332E+01, 4.052327E+02
 56330, 1.032279E-05, 4.413040E-04, 2.756195E-01, 1.195220E+01, 4.056588E+02
 56340, 7.243971E-06, 4.420256E-04, 2.761068E-01, 1.196529E+01, 4.064800E+02
 56350, 7.345418E-06, 4.391640E-04, 2.759415E-01, 1.196353E+01, 4.065647E+02
 56360, 1.310090E-05, 4.352337E-04, 2.751712E-01, 1.194522E+01, 4.055056E+02
 56370, 1.719365E-05, 4.338754E-04, 2.745329E-01, 1.193249E+01, 4.045957E+02
 56380, 1.878859E-05, 4.315165E-04, 2.740084E-01, 1.192308E+01, 4.037358E+02
 56390, 1.960763E-05, 4.313941E-04, 2.736192E-01, 1.191573E+01, 4.029815E+02
 56400, 1.933032E-05, 4.311278E-04, 2.731996E-01, 1.191051E+01, 4.022566E+02
 56410, 1.882033E-05, 4.332109E-04, 2.728144E-01, 1.190936E+01, 4.017290E+02
 56420, 1.799275E-05, 4.367429E-04, 2.727860E-01, 1.191728E+01, 4.018795E+02
 56430, 1.244457E-05, 4.385014E-04, 2.733089E-01, 1.193482E+01, 4.030463E+02
 56440, 9.439120E-06, 4.360810E-04, 2.738396E-01, 1.195006E+01, 4.045342E+02
 56450, 6.942305E-06, 4.362577E-04, 2.746308E-01, 1.197269E+01, 4.070990E+02
